word	weight
hai	3
merekam	2
ekstensif	3
paripurna	1
detail	2
pernik	3
belas	2
welas	4
kabung	1
rahayu	4
maaf	2
hello	2
promo	3
terimakasih	5
cover	3
mohon	2
mengawal	2
statistik	1
keluangan	3
jalan terbuka	3
banyaknya	3
lebar	3
bentang	1
hendaknya	1
silahkan	3
semboyan	2
ditunggu	2
akses	2
penerangan	2
hi	1
dibantu	2
makasih	4
halo	1
thanks	3
pengembangan	3
diva	2
punya	3
tidak segan	2
detailnya	1
tak segan	2
aktivasi	2
asih	3
kasih sayang	5
kekaguman	4
kehangatan	4
afeksi	2
renjana	2
amor	2
cinta kasih	5
tresna	2
filantropi	2
cintrong	2
suasana (hati)	1
dinamika	3
tuhan	3
merespon	3
makmur	4
suka cita	4
pengguna	1
tunggu	1
lotre	2
nggak	1
kupon	3
terpelihara	4
terawat	5
tersadar	3
tari	1
gejolak	1
kejutan	3
pesta	4
getar	1
allah	5
berlabuh	3
terdaftar	1
negosiasi	2
revolusioner	3
follback	1
pelaminan	4
yasalamualaika	3
uang lelah	2
parsel	2
amplop	3
kenang-kenangan	3
pengasih	4
uang rokok	2
persenan	2
baksis	2
tanda mata	2
angpau	4
hibah	4
upa	2
bingkisan	4
suvenir	4
kesudian	2
berakar	2
para-para	2
termakan	1
kemasyhuran	4
reputasi	2
gelar	2
serep	2
invite	1
nyanyian	2
dendang	2
gita	2
gending	1
lagu	2
rintisan	2
bergelora	2
antusias	2
ringan tangan	4
membara	2
menyala	2
berlangganan	2
berdenyut	2
bersungguh-sungguh	4
rintis	2
jalan bebas hambatan	2
tarekat	2
bajing	1
bopong	1
berlezat	2
getaran	1
berperan serta	2
debar	2
raba	1
degub	1
ikut serta	3
berpartisipasi	3
menguntiti	1
penghayatan	3
mitra	2
diterima	2
sohib	3
beriktikad	2
berkeyakinan	3
beriman	3
percaya	2
menghajatkan	1
senyum	2
haloo	3
menarik hati	3
cedayam	2
hasan	3
tumandang	1
pengen	3
bener	3
hellooo	2
marilah	1
terbaik	5
ulung	4
good	5
silakan	1
main	2
alhamdulillah	5
unek-unek	2
sesalan	1
menyaksikan	1
pemenangnya	4
hiii	1
menyuarakan	3
menginterprestasikan	1
menaksir	3
menuturkan	3
memperkirakan	2
mengimla	1
mengantisipasi	3
menafsirkan	2
mengartikan	1
mengasosiasikan	3
borong	2
payu	2
membeli	2
membuat	1
tertawa kecil	4
minta	2
mengorak senyum	2
mesem	2
tersenyum	4
ok	4
ayo	4
mari	4
yuk	4
lincah	4
buru-buru	1
kencang	3
buntut	1
kilat	3
kunjung	3
mendahului	2
segera	3
lekas	2
akas	2
terampil	4
jeraus	2
